"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20"
"Житомирський державний університет ім. І. Франка",248,696,113,440,100,381,119,22,24,20,21,19,21
"Національний університет харчових технологій",470,696,366,752,403,755,28,18,24,17,18,18,19
"Львівський державний університет безпеки життєдіяльності",397,694,312,555,235,423,27,18,20,18,18,18,18
"Дніпровський державний технічний університет",594,691,95,126,105,141,525,24,28,21,25,25,21
"Дніпропетровський державний університет внутрішніх справ",328,689,203,529,235,548,62,18,20,18,19,18,19
"Харківський національний педагогічний університет ім. Г. Сковороди",391,683,183,772,223,797,114,23,30,21,23,20,22
"Державний університет інфраструктури та технологій",603,680,313,382,327,415,93,19,24,18,22,20,21
"Львівський державний університет внутрішніх справ",260,676,199,611,184,512,31,18,22,18,18,18,18
"Вінницький національний медичний університет ім. М. Пирогова",209,658,415,814,273,533,-50,18,19,19,19,18,20
"Одеський державний аграрний університет",479,646,149,324,193,407,221,20,31,20,21,19,20
"Заклад вищої освіти ""Міжнародний науково-технічний університет ім. акад. Ю. Бугая""",561,643,194,281,207,324,189,21,27,20,21,20,20
"Вищий навчальний заклад ""Університет ім. А. Нобеля""",313,642,269,681,416,1033,16,20,24,19,20,19,19
"Донецький національний університет ім. В. Стуса",337,635,213,498,250,603,58,18,22,18,19,18,19
"Таврійський державний агротехнологічний університет ім. Д. Моторного",507,635,208,343,268,428,144,21,28,19,21,18,19
"Національний університет ""Острозька академія""",254,632,164,424,191,449,55,18,20,18,19,18,19
"Запорізький державний медичний університет",216,627,538,1188,296,683,-60,20,21,19,20,19,19
"Харківський національний медичний університет",309,612,686,1287,586,1084,-55,21,21,19,19,19,19
"Полтавський державний медичний університет",220,598,250,567,0,0,-12,18,19,18,19,0,0
"Київський національний лінгвістичний університет",126,593,211,1100,186,955,-40,18,20,18,19,18,20
"Львівський державний університет фізичної культури ім. І. Боберського",443,582,208,311,229,364,113,20,22,18,18,18,18
"Центральноукраїнський державний університет ім. В. Винниченка",302,570,129,294,199,400,134,20,22,18,20,20,21
"Криворізький національний університет",446,561,161,232,265,369,177,19,24,19,20,19,20
"""Київський медичний університет""",177,545,348,681,241,540,-49,20,19,20,21,20,20
"Буковинський державний медичний університет",158,544,420,946,355,889,-62,18,20,18,19,18,19
"Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",399,536,109,212,119,198,266,19,28,18,20,19,20
"""Київський міжнародний університет""",318,535,260,545,266,490,22,20,24,21,21,20,20
"Кам'янець-Подільський національний університет ім. І. Огієнка",333,530,148,330,193,364,125,20,24,19,19,19,20
"Одеська державна академія будівництва та архітектури",351,511,173,327,205,381,103,23,30,19,21,19,21
"Львівський національний медичний університет ім. Данила Галицького",128,505,266,628,261,505,-52,18,18,18,19,18,19
"Рівненський державний гуманітарний університет",295,496,99,302,115,366,198,20,26,18,18,18,19
"""Закарпатський угорський інститут ім. Ференца Ракоці ІІ""",218,469,85,311,88,259,156,19,25,18,17,17,18
"Миколаївський національний аграрний університет",333,454,175,317,311,547,90,19,23,18,18,18,19
"Харківський національний університет внутрішніх справ",241,451,393,689,240,560,-39,18,23,18,18,18,18
"""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",441,449,100,102,59,59,341,21,26,24,21,0,20
"Чорноморський національний університет ім. П. Могили",236,435,361,747,341,714,-35,20,22,19,19,19,19
"Хмельницький університет управління та права ім. Л. Юзькова",252,431,113,250,117,230,123,18,24,18,18,18,18
"Національний університет ""Одеська морська академія""",367,421,366,440,395,462,0,18,20,18,20,19,19
"Глухівський національний педагогічний університет ім. О. Довженка",251,414,20,61,30,79,1155,28,31,24,26,28,22
"Київський університет інтелектуальної власності та права Національного університету ""Одеська юридична академія""",236,410,89,184,0,0,165,18,21,18,19,0,0
"Херсонський державний аграрно-економічний університет",269,408,236,436,244,458,14,24,29,20,22,20,22
"Херсонський державний університет",174,392,152,471,192,541,14,22,25,19,19,19,19
"Київський національний університет культури і мистецтв",130,388,108,384,120,416,20,18,19,18,18,18,18
"Одеський національний економічний університет",180,385,173,469,197,495,4,18,24,18,18,18,19
"Державний університет економіки і технологій",233,382,233,363,104,179,0,18,22,18,18,18,19
"Одеський державний університет внутрішніх справ",136,378,110,259,56,131,24,18,20,18,18,18,18
"Фаховий коледж ""Освіта"" закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна""",237,373,352,532,379,518,-33,16,21,17,18,17,19
"Таврійський національний університет ім. В.Вернадського",243,371,142,280,123,241,71,20,27,19,21,20,22
"Академія праці, соціальних відносин і туризму",318,361,48,92,49,94,562,20,32,18,20,19,20
"Фаховий коледж Міжнародного гуманітарного університету",109,361,131,495,105,346,-17,16,16,16,16,16,17
"""Академія рекреаційних технологій і права""",303,360,114,168,102,146,166,26,30,26,24,27,24
"Фаховий коледж Закладу вищої освіти ""Університет Короля Данила""",139,358,170,412,100,218,-18,15,16,16,16,16,16
"Одеський національний медичний університет",112,346,218,471,232,451,-49,20,19,19,20,19,20
"""Фаховий коледж Київського міжнародного університету""",101,344,222,539,155,384,-55,16,16,16,17,16,16
"Криворізький державний педагогічний університет",129,338,56,245,83,282,130,22,24,19,20,19,19
"Відокремлений підрозділ ""Дніпровський факультет менеджменту і бізнесу Київського університету культури""",232,330,38,92,61,154,511,18,27,18,20,18,19
"""Буковинський університет""",301,326,64,81,66,80,370,20,28,21,19,19,20
"Національна академія керівних кадрів культури і мистецтв",133,319,74,235,70,228,80,20,26,20,21,20,20
"Державний університет інтелектуальних технологій і зв'язку",275,317,207,259,0,0,33,18,22,18,19,0,0
"Комунальний заклад ""Кам'янський фаховий медичний коледж"" Дніпропетровської обласної ради""",72,307,54,192,48,171,33,24,20,19,17,20,17
"Новомосковський фаховий кооперативний коледж економіки та права ім.С.Литвиненка",120,306,78,224,66,186,54,16,18,16,16,16,16
"""Івано-Франківський фаховий коледж Львівського національного університету природокористування""",266,305,77,119,63,106,245,17,29,16,19,18,19
"Чернівецький кооперативний фаховий коледж економіки і права",181,305,101,254,100,253,79,16,24,16,16,16,16
"Дніпровський державний медичний університет",97,301,477,876,368,632,-80,20,20,20,20,19,20
"Мелітопольський державний педагогічний університет ім. Б. Хмельницького",127,298,145,421,149,389,-12,27,29,23,22,23,22
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""",258,293,54,67,82,93,378,22,25,21,23,22,23
"Комунальний заклад вищої освіти «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради",118,282,31,215,20,111,281,26,30,27,21,26,23
"""Фаховий коледж мистецтв та дизайну Київського національного університету технологій та дизайну""",46,271,57,392,48,261,-19,16,16,16,16,16,17
"Національна академія Служби безпеки України",188,263,105,143,41,59,79,19,20,18,19,19,20
"Львівська національна академія мистецтв",46,257,35,188,35,174,31,19,22,19,21,19,20
"""Одеський технічний фаховий коледж Одеського національного технологічного університету""",180,253,200,296,85,157,-10,16,20,18,18,17,18
"Херсонська державна морська академія",247,247,343,347,297,302,-28,0,23,18,20,18,19
"""Відкритий міжнародний університет розвитку людини ""Україна"" Вінницький соціально-економічний інститут",182,246,32,82,46,103,469,28,29,28,26,25,21
"Комунальний заклад ""Одеський обласний базовий медичний фаховий коледж""",58,244,67,298,63,240,-13,19,17,17,16,17,16
"""Хмельницький політехнічний фаховий коледж Національного університету ""Львівська політехніка""",192,238,196,229,166,192,-2,15,16,15,16,15,16
"Бердянський державний педагогічний університет",144,237,155,364,177,440,-7,24,27,20,20,21,21
"""Фінансово-правовий коледж""",106,235,129,248,126,257,-18,16,17,16,17,16,17
"«Технічний фаховий коледж Луцького національного технічного університету»",165,230,179,235,64,102,-8,16,18,16,16,16,16
"Вінницький ННІ економіки Західноукраїнського національного університету",196,229,61,91,70,116,221,19,28,18,19,19,19
"Київський національний університет театру, кіно і телебачення ім. І. Карпенка-Карого",90,228,82,197,80,220,10,20,23,19,20,18,19
"Харківська державна академія фізичної культури",178,227,93,137,150,213,91,23,25,21,21,21,21
"Рівненський кооперативний економіко-правовий фаховий коледж",92,226,83,262,83,250,11,16,19,17,16,17,17
"Комунальний заклад вищої освіти Львівської обласної ради ""Львівська медична академія ім. Андрея Крупинського""",71,225,48,236,35,170,48,19,24,17,17,19,18
"Харківський національний університет будівництва та архітектури",201,225,141,217,177,298,43,22,31,20,23,19,21
"""Східноєвропейський університет ім. Р. Аблязова""",181,224,37,60,57,99,389,19,29,18,28,20,25
"Харківська державна академія дизайну і мистецтв",81,222,73,246,66,281,11,20,26,19,22,19,20
"«Економіко-правничий фаховий коледж Запорізького національного університету»",73,221,116,299,88,219,-37,16,16,16,16,16,16
"Ніжинський державний університет ім. М. Гоголя",132,221,57,135,71,183,132,20,26,19,21,20,21
"Київський фаховий коледж туризму та готельного господарства",114,220,149,301,140,315,-23,16,17,16,16,16,16
"Національний фармацевтичний університет",98,220,169,443,180,507,-42,22,32,19,20,19,20
"Комунальний заклад вищої освіти ""Вінницька академія безперервної освіти""",146,218,15,70,10,51,873,35,33,40,39,39,34
"Львівський кооперативний фаховий коледж економіки і права",90,218,134,312,109,254,-33,16,22,16,16,16,16
"Одеський морехідний фаховий коледж морського та рибопромислового флоту ім. О. Соляника",218,218,362,362,288,288,-40,0,16,0,16,0,16
"Хмельницький кооперативний фаховий коледж Хмельницького кооперативного торговельно-економічного інституту",83,218,128,314,99,232,-35,15,16,16,16,16,16
"""Волинський фаховий коледж Національного університету харчових технологій""",169,217,85,158,75,140,99,16,22,16,16,16,17
"Ізмаїльський державний гуманітарний університет",88,217,43,150,48,173,105,21,26,20,24,22,25
"Вінницький медичний фаховий коледж ім. акад. Д. Заболотного",42,216,30,199,39,207,40,19,17,17,17,16,17
"Полтавський фаховий кооперативний коледж",77,213,76,227,66,174,1,16,21,16,17,16,17
"Хмельницький кооперативний торговельно-економічний інститут",128,211,91,157,80,114,41,19,20,20,20,19,20
"""Київський кооперативний інститут бізнесу і права""",152,210,53,89,61,108,187,20,24,19,20,19,19
"""Мукачівський фаховий коледж Національного університету біоресурсів і природокористування України""",141,208,82,179,35,82,72,16,22,16,16,15,17
"""Рівненський фаховий коледж Національного університету біоресурсів і природокористування України""",135,208,103,185,81,127,31,16,19,16,17,17,17
"Херсонський ННІ Національного університету кораблебудування ім. адмірала Макарова",190,207,153,164,118,133,24,27,29,34,29,27,31
"Заклад вищої освіти ""Львівський університет бізнесу та права""",190,206,48,67,24,54,296,22,31,20,23,19,21
"""Бережанський фаховий коледж Національного університету біоресурсів і природокористування України""",194,205,83,99,104,128,134,23,24,24,22,23,21
"Черкаський інститут пожежної безпеки ім. Героїв Чорнобиля Національного університету цивільного захисту України",131,205,64,112,55,94,105,18,19,18,18,18,18
"Черкаська медична академія",45,204,55,255,51,210,-18,19,20,18,19,18,18
"Полтавський юридичний інститут Національного юридичного університету ім. Ярослава Мудрого",108,200,53,106,71,129,104,18,20,18,19,18,20
"Вищий навчальний приватний заклад ""Дніпровський гуманітарний університет""",105,199,45,95,57,147,133,19,25,18,20,19,20
"Галицький фаховий коледж ім. В. Чорновола",91,198,39,131,44,109,133,17,18,16,16,17,17
"Національний університет цивільного захисту України",142,197,170,274,187,314,-16,20,26,17,18,18,18
"Фаховий коледж Закладу вищої освіти «Міжнародний науково-технічний університет ім. акад. Ю. Бугая»",114,194,75,121,40,62,52,16,15,16,16,16,16
"Малинський фаховий коледж",177,187,68,74,34,49,160,17,27,17,21,17,20
"ПрАТ """"Запорізький інститут економіки та інформаційних технологій""",157,187,78,116,63,101,101,20,25,18,20,18,19
"""Івано-Франківський фаховий коледж фізичного виховання Національного університету фізичного виховання і спорту України""",159,186,109,135,85,102,46,18,20,17,18,17,18
"Житомирський агротехнічний фаховий коледж",177,186,214,269,128,166,-17,15,20,17,18,18,18
"“Київський фаховий коледж комп’ютерних технологій та економіки Національного авіаційного університету”",159,184,146,156,80,86,9,16,16,15,15,16,16
"Національна академія статистики, обліку та аудиту",134,181,70,120,86,156,91,18,23,19,20,20,21
"«Фаховий коледж економіки, права та інформаційних технологій Західноукраїнського національного університету»",96,178,150,276,97,180,-36,16,23,16,17,17,17
