"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20","all_students_23","men_23","mean_age_w_23","mean_age_m_23","delta_23"
"Вінницький державний педагогічний університет ім. М. Коцюбинського",463,1035,189,630,262,747,145,20,24,19,19,19,20,1011,480,19,26,4
"Заклад вищої освіти «Подільський державний університет»",959,1034,161,232,216,291,496,22,27,23,21,22,21,1307,1251,21,28,30
"Полтавський національний педагогічний університет ім. В. Короленка",556,1005,142,450,282,730,292,22,26,21,22,20,21,949,612,21,28,10
"Тернопільський національний педагогічний університет ім. В. Гнатюка",611,1005,150,533,152,480,307,19,27,19,20,18,19,991,620,19,28,1
"Придніпровська державна академія будівництва та архітектури",810,997,152,224,163,240,433,20,28,19,20,19,21,1100,945,19,32,17
"Уманський національний університет садівництва",819,993,238,397,262,414,244,21,28,21,22,19,20,1629,1436,22,30,75
"""Міжнародний економіко-гуманітарний університет ім. акад. С. Дем'янчука""",818,988,157,346,221,498,421,21,28,18,20,18,19,1975,1780,21,31,118
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",692,985,541,895,506,832,28,17,23,18,19,17,19,1216,838,17,25,21
"Заклад вищої освіти «Відкритий міжнародний університет розвитку людини «Україна»",846,983,432,607,392,582,96,23,27,21,22,22,21,1040,914,27,30,8
"Харківський національний університет міського господарства ім. О. Бекетова",730,974,466,1003,513,1204,57,21,28,18,21,18,19,1346,1035,21,30,42
"Національний університет фізичного виховання і спорту України",683,956,538,768,698,989,27,23,21,21,19,22,20,793,585,22,22,-14
"Чернівецький торговельно-економічний інститут Державного торговельно-економічного університету",864,949,70,117,85,151,1134,21,32,18,20,19,20,657,574,19,29,-34
"Вінницький торговельно-економічний інститут Державного торговельно-економічного університету",554,940,249,589,251,598,122,18,23,18,19,18,19,1286,748,18,25,35
"Університет Григорія Сковороди в Переяславі",709,922,291,437,262,478,144,25,27,23,23,22,22,1352,1188,27,31,68
"Українська академія друкарства",794,896,93,176,97,163,754,19,28,17,19,17,19,1092,966,18,30,22
"""Луганський національний університет ім. Т. Шевченка""",582,893,201,352,228,425,190,27,29,24,25,24,23,1199,974,28,32,67
"Львівський торговельно-економічний університет",566,881,377,671,278,453,50,18,24,18,18,18,19,904,621,18,24,10
"Національна академія внутрішніх справ",291,867,234,659,188,446,24,18,19,18,18,18,18,1142,329,18,18,13
"Державний податковий університет",626,850,298,683,313,668,110,18,26,18,18,18,19,1121,863,19,26,38
"Національний аерокосмічний університет ім. М. Є. Жуковського ""Харківський авіаційний інститут""",741,821,467,662,372,531,59,21,29,18,20,18,20,1044,902,20,29,22
"Дрогобицький державний педагогічний університет ім. І. Франка",524,819,92,295,138,394,470,23,27,22,20,21,20,799,563,23,27,7
"Полтавський університет економіки і торгівлі",537,813,443,706,418,804,21,19,23,19,21,18,20,1001,753,19,28,40
"Кременчуцький національний університет ім. М. Остроградського",579,797,196,333,303,533,195,22,23,20,21,20,21,1156,952,19,28,64
"Мукачівський державний університет",471,793,80,357,95,343,489,22,28,19,19,20,22,721,456,20,29,-3
"Заклад вищої освіти “Український католицький університет”",336,792,300,766,276,773,12,21,24,21,22,21,21,772,280,21,23,-17
"«Південноукраїнський національний педагогічний університет ім. К. Ушинського»",241,789,207,704,213,652,16,22,25,19,21,20,21,862,357,22,27,48
"Сумський державний педагогічний університет ім. А.С. Макаренка",519,780,152,364,184,400,241,25,28,21,22,21,22,705,506,25,31,-3
"Івано-Франківський національний медичний університет",285,760,421,885,304,679,-32,18,19,18,19,18,19,474,140,17,19,-51
"Національний університет ""Києво-Могилянська академія""",334,756,348,901,364,937,-4,20,23,20,22,20,22,828,305,20,22,-9
"Національний університет ""Чернігівський колегіум"" ім. Т.Г. Шевченка",513,725,79,207,128,287,549,23,28,20,19,19,19,1228,1016,23,33,98
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",684,719,71,89,134,158,863,23,27,22,24,23,22,701,674,25,29,-1
"Східноукраїнський національний університет ім. В. Даля",592,706,113,185,182,297,424,28,29,20,22,21,22,1247,1090,24,32,84
"Тернопiльський національний медичний університет ім. I. Горбачевського",299,701,471,951,275,597,-37,19,20,19,20,19,19,327,121,19,21,-60
"Житомирський державний університет ім. І. Франка",248,696,113,440,100,381,119,22,24,20,21,19,21,878,409,22,26,65
"Національний університет харчових технологій",470,696,366,752,403,755,28,18,24,17,18,18,19,1103,854,18,28,82
"Львівський державний університет безпеки життєдіяльності",397,694,312,555,235,423,27,18,20,18,18,18,18,869,504,17,19,27
"Дніпровський державний технічний університет",594,691,95,126,105,141,525,24,28,21,25,25,21,623,536,28,29,-10
"Дніпропетровський державний університет внутрішніх справ",328,689,203,529,235,548,62,18,20,18,19,18,19,634,274,18,21,-16
"Харківський національний педагогічний університет ім. Г. Сковороди",391,683,183,772,223,797,114,23,30,21,23,20,22,710,408,22,29,4
"Державний університет інфраструктури та технологій",603,680,313,382,327,415,93,19,24,18,22,20,21,1007,912,19,30,51
"Львівський державний університет внутрішніх справ",260,676,199,611,184,512,31,18,22,18,18,18,18,712,212,18,21,-18
"Вінницький національний медичний університет ім. М. Пирогова",209,658,415,814,273,533,-50,18,19,19,19,18,20,471,128,18,19,-39
"Одеський державний аграрний університет",479,646,149,324,193,407,221,20,31,20,21,19,20,720,638,19,32,33
"Заклад вищої освіти ""Міжнародний науково-технічний університет ім. акад. Ю. Бугая""",561,643,194,281,207,324,189,21,27,20,21,20,20,999,931,25,31,66
"Вищий навчальний заклад ""Університет ім. А. Нобеля""",313,642,269,681,416,1033,16,20,24,19,20,19,19,341,172,20,27,-45
"Донецький національний університет ім. В. Стуса",337,635,213,498,250,603,58,18,22,18,19,18,19,800,411,18,25,22
"Таврійський державний агротехнологічний університет ім. Д. Моторного",507,635,208,343,268,428,144,21,28,19,21,18,19,902,776,26,33,53
"Національний університет ""Острозька академія""",254,632,164,424,191,449,55,18,20,18,19,18,19,796,291,18,21,15
"Запорізький державний медичний університет",216,627,538,1188,296,683,-60,20,21,19,20,19,19,286,83,21,19,-62
"Харківський національний медичний університет",309,612,686,1287,586,1084,-55,21,21,19,19,19,19,247,70,20,20,-77
"Полтавський державний медичний університет",220,598,250,567,0,0,-12,18,19,18,19,0,0,431,144,18,18,-35
"Київський національний лінгвістичний університет",126,593,211,1100,186,955,-40,18,20,18,19,18,20,705,145,18,20,15
"Львівський державний університет фізичної культури ім. І. Боберського",443,582,208,311,229,364,113,20,22,18,18,18,18,499,377,20,23,-15
"Центральноукраїнський державний університет ім. В. Винниченка",302,570,129,294,199,400,134,20,22,18,20,20,21,528,311,20,24,3
"Криворізький національний університет",446,561,161,232,265,369,177,19,24,19,20,19,20,756,666,18,28,49
"""Київський медичний університет""",177,545,348,681,241,540,-49,20,19,20,21,20,20,206,56,19,19,-68
"Буковинський державний медичний університет",158,544,420,946,355,889,-62,18,20,18,19,18,19,374,94,17,21,-41
"Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",399,536,109,212,119,198,266,19,28,18,20,19,20,644,547,18,32,37
"""Київський міжнародний університет""",318,535,260,545,266,490,22,20,24,21,21,20,20,570,340,20,26,7
"Кам'янець-Подільський національний університет ім. І. Огієнка",333,530,148,330,193,364,125,20,24,19,19,19,20,643,476,20,28,43
"Одеська державна академія будівництва та архітектури",351,511,173,327,205,381,103,23,30,19,21,19,21,873,688,20,33,96
"Львівський національний медичний університет ім. Данила Галицького",128,505,266,628,261,505,-52,18,18,18,19,18,19,281,98,18,18,-23
"Рівненський державний гуманітарний університет",295,496,99,302,115,366,198,20,26,18,18,18,19,674,419,18,29,42
"""Закарпатський угорський інститут ім. Ференца Ракоці ІІ""",218,469,85,311,88,259,156,19,25,18,17,17,18,368,132,18,20,-39
"Миколаївський національний аграрний університет",333,454,175,317,311,547,90,19,23,18,18,18,19,797,647,20,27,94
"Харківський національний університет внутрішніх справ",241,451,393,689,240,560,-39,18,23,18,18,18,18,582,278,18,22,15
"""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",441,449,100,102,59,59,341,21,26,24,21,0,20,1388,1353,22,31,207
"Чорноморський національний університет ім. П. Могили",236,435,361,747,341,714,-35,20,22,19,19,19,19,582,307,20,22,30
"Хмельницький університет управління та права ім. Л. Юзькова",252,431,113,250,117,230,123,18,24,18,18,18,18,495,309,17,25,23
"Національний університет ""Одеська морська академія""",367,421,366,440,395,462,0,18,20,18,20,19,19,321,283,17,21,-23
"Глухівський національний педагогічний університет ім. О. Довженка",251,414,20,61,30,79,1155,28,31,24,26,28,22,400,329,32,33,31
"Київський університет інтелектуальної власності та права Національного університету ""Одеська юридична академія""",236,410,89,184,0,0,165,18,21,18,19,0,0,602,340,18,24,44
"Херсонський державний аграрно-економічний університет",269,408,236,436,244,458,14,24,29,20,22,20,22,703,558,27,33,107
"Херсонський державний університет",174,392,152,471,192,541,14,22,25,19,19,19,19,547,324,26,31,86
"Київський національний університет культури і мистецтв",130,388,108,384,120,416,20,18,19,18,18,18,18,424,131,18,20,1
"Одеський національний економічний університет",180,385,173,469,197,495,4,18,24,18,18,18,19,613,273,19,26,52
"Державний університет економіки і технологій",233,382,233,363,104,179,0,18,22,18,18,18,19,545,384,18,27,65
"Одеський державний університет внутрішніх справ",136,378,110,259,56,131,24,18,20,18,18,18,18,0,0,0,0,0
"Фаховий коледж ""Освіта"" закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна""",237,373,352,532,379,518,-33,16,21,17,18,17,19,317,188,17,24,-21
"Таврійський національний університет ім. В.Вернадського",243,371,142,280,123,241,71,20,27,19,21,20,22,486,363,21,29,49
"Академія праці, соціальних відносин і туризму",318,361,48,92,49,94,562,20,32,18,20,19,20,526,494,22,34,55
"Фаховий коледж Міжнародного гуманітарного університету",109,361,131,495,105,346,-17,16,16,16,16,16,17,367,135,16,16,24
