"university","women_22","men_22","all_students_22","women_21","men_21","all_students_21","delta_22","delta_21","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21"
"Фаховий коледж Закладу вищої освіти «Міжнародний науково-технічний університет ім. акад. Ю. Бугая»",80,114,194,46,75,121,52,88,16,15,16,16
"Малинський фаховий коледж",10,177,187,6,68,74,160,100,17,27,17,21
"ПрАТ """"Запорізький інститут економіки та інформаційних технологій""",30,157,187,38,78,116,101,24,20,25,18,20
"""Івано-Франківський фаховий коледж фізичного виховання Національного університету фізичного виховання і спорту України""",27,159,186,26,109,135,46,28,18,20,17,18
"Житомирський агротехнічний фаховий коледж",9,177,186,55,214,269,-17,67,15,20,17,18
"“Київський фаховий коледж комп’ютерних технологій та економіки Національного авіаційного університету”",25,159,184,10,146,156,9,82,16,16,15,15
"Національна академія статистики, обліку та аудиту",47,134,181,50,70,120,91,-19,18,23,19,20
"«Фаховий коледж економіки, права та інформаційних технологій Західноукраїнського національного університету»",82,96,178,126,150,276,-36,55,16,23,16,17
"КОМУНАЛЬНИЙ ЗАКЛАД ""ДНІПРОВСЬКИЙ БАЗОВИЙ ФАХОВИЙ МЕДИЧНИЙ КОЛЕДЖ"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""",145,32,177,167,27,194,19,-13,22,18,19,17
"вищої освіти ""Університет менеджменту освіти""",48,126,174,35,26,61,385,-4,21,31,18,20
"Тернопільський кооперативний фаховий коледж",119,55,174,147,57,204,-4,68,16,21,16,16
"""Відкритий міжнародний університет розвитку людини ""Україна"" Луцький інститут розвитку людини",33,140,173,57,37,94,278,-35,23,29,23,25
"""Маловисторопський фаховий коледж ім. П. Рибалка Сумського національного аграрного університету""",18,151,169,34,88,122,72,87,27,31,28,25
"""Технологічний фаховий коледж Національного університету ""Львівська політехніка""",79,90,169,118,98,216,-8,88,16,19,16,16
"""Морехідний фаховий коледж ім. О. Маринеска Національного університету ""Одеська морська академія""",16,152,168,3,121,124,26,8,15,17,17,18
"Чернівецький транспортний фаховий коледж",2,165,167,4,49,53,237,63,33,27,21,17
"Фаховий коледж Київського університету інтелектуальної власності та права Національного університету ""Одеська юридична академія""",100,65,165,137,94,231,-31,0,16,16,16,16
"""Фаховий коледж морського транспорту Національного університету ""Одеська морська академія""",4,160,164,2,188,190,-15,3,15,16,15,15
"Київський фаховий коледж зв'язку",20,144,164,30,185,215,-22,0,17,18,16,17
"Херсонський національний технічний університет",54,110,164,138,192,330,-43,-10,22,22,20,19
"""Техніко-економічний фаховий коледж Національного університету ""Львівська політехніка""",54,109,163,55,52,107,110,18,16,27,16,16
"""Відкритий міжнародний університет розвитку людини ""Україна"" Миколаївський інститут розвитку людини",27,133,160,58,63,121,111,-2,29,28,32,24
